artist,cardClass,collectible,cost,dbfId,flavor,id,name,rarity,set,spellSchool,text,type,mechanics,attack,health,race,elite,targetingArrowText,durability,overload,spellDamage,battlegroundsPremiumDbfId,howToEarnGolden,howToEarn,armor,hasDiamondSkin,collectionText,techLevel,faction,multiClassGroup,isMiniSet,hideStats,battlegroundsDarkmoonPrizeTurn,questReward
Nutthapon Petchthai,MAGE,TRUE,5,2539,"It's on the rack next to ice lance, acid lance, and English muffin lance.",AT_001,Flame Lance,COMMON,TGT,FIRE,Deal $8 damage to a minion.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tooth,MAGE,TRUE,3,2541,"Burning man, brah.",AT_002,Effigy,RARE,TGT,FIRE,"<b>Secret:</b> When a friendly minion dies, summon a random minion with the same Cost.",SPELL,SECRET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthur Bozonnet,MAGE,TRUE,2,2545,And he can't get up.,AT_003,Fallen Hero,RARE,TGT,NA,Your Hero Power deals 1 extra damage.,MINION,HEROPOWER_DAMAGE,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabor Szikszai,MAGE,TRUE,1,2572,Now with 100% more blast!,AT_004,Arcane Blast,EPIC,TGT,ARCANE,Deal $2 damage to a minion. This spell gets double bonus from <b>Spell Damage</b>.,SPELL,RECEIVES_DOUBLE_SPELLDAMAGE_BONUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Sass,MAGE,TRUE,3,2542,It's always Huffer.,AT_005,Polymorph: Boar,RARE,TGT,ARCANE,Transform a minion into a 4/2 Boar with <b>Charge</b>.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dan Scott,MAGE,TRUE,4,2549,Is he aspiring or inspiring?  Make up your mind!,AT_006,Dalaran Aspirant,COMMON,TGT,NA,<b>Inspire:</b> Gain <b>Spell Damage +1</b>.,MINION,INSPIRE,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrew Hou,MAGE,TRUE,3,2571,"Does he sling spells, or do his spells linger about.  Who can say?",AT_007,Spellslinger,COMMON,TGT,NA,<b>Battlecry:</b> Add a random spell to each player's hand.,MINION,BATTLECRY,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christopher Moeller,MAGE,TRUE,6,2544,"The Grand Tournament has a ""No dragons allowed"" policy, but it's rarely enforced.",AT_008,Coldarra Drake,EPIC,TGT,NA,You can use your Hero Power any number of times.,MINION,NA,6,7,DRAGON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zoltan & Gabor,MAGE,TRUE,8,2546,A masterless shamurai.,AT_009,Rhonin,LEGENDARY,TGT,NA,<b>Deathrattle:</b> Add 3 copies of Arcane Missiles to your hand.,MINION,DEATHRATTLE,7,7,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Kitkouski,HUNTER,TRUE,5,2552,Not getting trampled is really the trick here.,AT_010,Ram Wrangler,RARE,TGT,NA,"<b>Battlecry:</b> If you have a Beast, summon a
random Beast.",MINION,BATTLECRY,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Garner,PRIEST,TRUE,4,2555,She really likes seeing people get better.  That's why she hurts them in the first place.,AT_011,Holy Champion,COMMON,TGT,NA,"Whenever a character is healed, gain +2 Attack.",MINION,TRIGGER_VISUAL,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dave Allsop,PRIEST,TRUE,4,2551,What did you expect to happen?  He's a Spawn.  Of Shadows.,AT_012,Spawn of Shadows,RARE,TGT,NA,<b>Inspire:</b> Deal 4 damage to each hero.,MINION,INSPIRE,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Sass,PRIEST,TRUE,1,2568,The promise of glory is a powerful tool to get minions to do your bidding.  Only slightly less powerful than the promise of an ice cream bar!,AT_013,Power Word: Glory,COMMON,TGT,HOLY,"Choose a minion. Whenever it attacks, restore 4 Health to
your hero.",SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Warren Mahy,PRIEST,TRUE,3,2566,"Hopes to be promoted to ""Shadowfriend"" someday.",AT_014,Shadowfiend,EPIC,TGT,NA,"Whenever you draw a card, reduce its Cost by (1).",MINION,TRIGGER_VISUAL,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dan Dos Santos,PRIEST,TRUE,2,2563,"""Are you interested in... HEALTH benefits?!""",AT_015,Convert,RARE,TGT,NA,Put a copy of an enemy minion into your hand.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sean O’Daniels,PRIEST,TRUE,2,2564,This minion is really powerful!,AT_016,Confuse,EPIC,TGT,SHADOW,Swap the Attack and Health of all minions.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slawomir Maniak,NEUTRAL,TRUE,4,2569,"A result of magical experiments carried out by the Black Dragonflight, it's not his fault that he's a vicious killer.",AT_017,Twilight Guardian,EPIC,TGT,NA,"<b>Battlecry:</b> If you're holding a Dragon, gain +1 Attack and <b>Taunt</b>.",MINION,BATTLECRY,2,6,DRAGON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Rahn,PRIEST,TRUE,7,2556,She sees into your past and makes you face your fears.  Most common fear:  Getting Majordomo out of Sneed's Old Shredder.,AT_018,Confessor Paletress,LEGENDARY,TGT,NA,<b>Inspire:</b> Summon a random <b>Legendary</b> minion.,MINION,INSPIRE,5,4,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Horley Orlandelli,WARLOCK,TRUE,4,2822,"Crescendo himself summoned this steed, riding it to victory in the Grand Tournament.  Wherever he rides, an army of riders ride behind him, supporting the legendary champion.",AT_019,Dreadsteed,EPIC,TGT,NA,"<b>Deathrattle:</b> At the end
 of the turn, summon a Dreadsteed.",MINION,DEATHRATTLE,1,1,DEMON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anton Zemskov,WARLOCK,TRUE,7,2624,"They were originally called Cuddleguards, but they were not inspiring the proper amount of fear.",AT_020,Fearsome Doomguard,COMMON,TGT,NA,NA,MINION,NA,6,8,DEMON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raymond Swanland,WARLOCK,TRUE,2,2777,"""No, no, no. I asked for a tiny JESTER of evil.""",AT_021,Tiny Knight of Evil,RARE,TGT,NA,"Whenever you discard a card, gain +1/+1.",MINION,TRIGGER_VISUAL,3,2,DEMON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Dixon,WARLOCK,TRUE,4,2628,* Not actually Jaraxxus' fist.,AT_022,Fist of Jaraxxus,RARE,TGT,FEL,"When you play or discard this, deal $4 damage to a random enemy.",SPELL,InvisibleDeathrattle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Skan Srisuwan,WARLOCK,TRUE,6,2537,"We like to call him ""Wesley"".",AT_023,Void Crusher,RARE,TGT,NA,<b>Inspire:</b> Destroy a random minion for each player.,MINION,INSPIRE,5,4,DEMON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin Chen,WARLOCK,TRUE,2,2535,Very dangerous when attached to a demonbomb.,AT_024,Demonfuse,COMMON,TGT,FEL,Give a Demon +3/+3. Give your opponent a Mana Crystal.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paul Mafayon,WARLOCK,TRUE,6,2632,A prime example of lose-lose negotiating.,AT_025,Dark Bargain,EPIC,TGT,SHADOW,Destroy 2 random enemy minions. Discard 2 random cards.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sojin Hwang,WARLOCK,TRUE,2,2623,"After playing against 5 Annoy-O-Trons, any normal guard will become a Wrathguard.",AT_026,Wrathguard,COMMON,TGT,NA,"Whenever this minion takes damage, also deal that amount to your hero.",MINION,TRIGGER_VISUAL,4,3,DEMON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tooth,WARLOCK,TRUE,6,2621,"He can summon anything, even a FEARSOME DOOMGUARD*.
*He's pretty sure this is going to work out.",AT_027,Wilfred Fizzlebang,LEGENDARY,TGT,NA,Cards you draw from your Hero Power cost (0).,MINION,TRIGGER_VISUAL,4,4,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Metcalf,ROGUE,TRUE,5,2765,"He needed a break after that business in the Vale of Eternal Blossoms. Naturally, he chose to spend his vacation in an icy snowscape killing monsters.",AT_028,Shado-Pan Rider,COMMON,TGT,NA,<b>Combo:</b> Gain +3 Attack.,MINION,COMBO,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Dixon,ROGUE,TRUE,1,2715,The best part of buccaneering is the pants.,AT_029,Buccaneer,COMMON,TGT,NA,"Whenever you equip a weapon, give it +1 Attack.",MINION,TRIGGER_VISUAL,2,1,PIRATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zoltan Boros,ROGUE,TRUE,2,2767,Almost went to play for Stormwind before signing with Undercity.,AT_030,Undercity Valiant,COMMON,TGT,NA,<b>Combo:</b> Deal 1 damage.,MINION,COMBO,3,2,NA,NA,Deal 1 damage.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Horley Orlandelli,ROGUE,TRUE,2,2766,He has a giant collection of purses now.  One for every outfit!,AT_031,Cutpurse,RARE,TGT,NA,"Whenever this minion attacks a hero, add the Coin to your hand.",MINION,TRIGGER_VISUAL,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
